,title,price,link
10,ASUS VivoBook 15 (2022) Core i3 10th Gen - (8 GB/512 GB SSD/Windows 11 Home) X515JA-EJ362WS | X515JA-E...,"₹26,990",/asus-vivobook-15-2022-core-i3-10th-gen-8-gb-512-gb-ssd-windows-11-home-x515ja-ej362ws-x515ja-ej392ws-thin-light-laptop/p/itmae4a34193296d?pid=COMG87FFPEDAAGXW&lid=LSTCOMG87FFPEDAAGXWTMCIPI&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_11&otracker=search&fm=organic&iid=95bd80bb-92d4-4e88-a70d-d41f93d5f7ff.COMG87FFPEDAAGXW.SEARCH&ppt=None&ppn=None&ssid=v4qlsbt7680000001663997131024&qH=c06ea84a1e3dc3c6
11,Lenovo IdeaPad Gaming 3 Core i5 11th Gen - (8 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeFor...,"₹58,990",/lenovo-ideapad-gaming-3-core-i5-11th-gen-8-gb-512-gb-ssd-windows-11-home-4-graphics-nvidia-geforce-rtx-3050-15ihu6d2-laptop/p/itm78e98bb9abfb1?pid=COMGBNFUHREA8EJN&lid=LSTCOMGBNFUHREA8EJNCOPCZZ&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_12&otracker=search&fm=organic&iid=en_EpBk0Vl6ZuzEVnjYrNCxZO7vOQpFQ5yAEzGKdrcANr%2BXKqi3am%2FIAs514k8pXO82NhmRgCluOepsgMzNZxmMDw%3D%3D&ppt=None&ppn=None&ssid=v4qlsbt7680000001663997131024&qH=c06ea84a1e3dc3c6
12,ASUS TUF Gaming A17 with 90Whr Battery Ryzen 5 Hexa Core AMD R5-4600H - (8 GB/512 GB SSD/Windows 11 Ho...,"₹51,890",/asus-tuf-gaming-a17-90whr-battery-ryzen-5-hexa-core-amd-r5-4600h-8-gb-512-gb-ssd-windows-11-home-4-graphics-nvidia-geforce-gtx-1650-144-hz-fa706ihrb-hx041w-laptop/p/itm210385fd14c7a?pid=COMGFYQZZFRKBNWV&lid=LSTCOMGFYQZZFRKBNWVYP70VR&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_13&otracker=search&fm=organic&iid=95bd80bb-92d4-4e88-a70d-d41f93d5f7ff.COMGFYQZZFRKBNWV.SEARCH&ppt=None&ppn=None&ssid=v4qlsbt7680000001663997131024&qH=c06ea84a1e3dc3c6
13,ASUS Vivobook 15 Ryzen 3 Dual Core AMD Ryzen™ 3 3250U - (8 GB/512 GB SSD/Windows 11 Home) M515DA-BQ332...,"₹28,790",/asus-vivobook-15-ryzen-3-dual-core-amd-ryzen-3250u-8-gb-512-gb-ssd-windows-11-home-m515da-bq332ws-laptop/p/itmc834f146e1c8c?pid=COMGENRBUHZQZZVW&lid=LSTCOMGENRBUHZQZZVWA6RBOK&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_14&otracker=search&fm=organic&iid=95bd80bb-92d4-4e88-a70d-d41f93d5f7ff.COMGENRBUHZQZZVW.SEARCH&ppt=None&ppn=None&ssid=v4qlsbt7680000001663997131024&qH=c06ea84a1e3dc3c6
14,ASUS Vivobook 15 Ryzen 3 Dual Core AMD R3-3250U - (8 GB/512 GB SSD/Windows 11 Home) M515DA-BQ332WS Thi...,"₹26,890",/asus-vivobook-15-ryzen-3-dual-core-amd-r3-3250u-8-gb-512-gb-ssd-windows-11-home-m515da-bq332ws-thin-light-laptop/p/itmc834f146e1c8c?pid=COMGGVRGGXQXHPZG&lid=LSTCOMGGVRGGXQXHPZGR4UZLN&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_15&otracker=search&fm=organic&iid=95bd80bb-92d4-4e88-a70d-d41f93d5f7ff.COMGGVRGGXQXHPZG.SEARCH&ppt=None&ppn=None&ssid=v4qlsbt7680000001663997131024&qH=c06ea84a1e3dc3c6
15,ASUS ROG Strix G15 Ryzen 7 Octa Core AMD R7-4800H - (8 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVI...,"₹75,890",/asus-rog-strix-g15-ryzen-7-octa-core-amd-r7-4800h-8-gb-512-gb-ssd-windows-11-home-4-graphics-nvidia-geforce-rtx-3050-144-hz-g513ic-hn025w-gaming-laptop/p/itm8e5ef2d250684?pid=COMGAD9VKCWK8CZU&lid=LSTCOMGAD9VKCWK8CZUU4ICFA&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_16&otracker=search&fm=organic&iid=en_EpBk0Vl6ZuzEVnjYrNCxZO7vOQpFQ5yAEzGKdrcANr%2Bmx0yuUAQyhSKZKUDI5rRP6ktGm9jQI5AzMdrylEuLFw%3D%3D&ppt=None&ppn=None&ssid=v4qlsbt7680000001663997131024&qH=c06ea84a1e3dc3c6
16,realme Book(Slim) Intel Evo Core i5 11th Gen - (8 GB/512 GB SSD/Windows 10 Home) RMNB1002 Thin and Lig...,"₹44,890",/realme-book-slim-intel-evo-core-i5-11th-gen-8-gb-512-gb-ssd-windows-10-home-rmnb1002-thin-light-laptop/p/itmcba3dbb689049?pid=COMG5YDPPTAT3NGH&lid=LSTCOMG5YDPPTAT3NGHXJIKG0&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_17&otracker=search&fm=organic&iid=95bd80bb-92d4-4e88-a70d-d41f93d5f7ff.COMG5YDPPTAT3NGH.SEARCH&ppt=None&ppn=None&ssid=v4qlsbt7680000001663997131024&qH=c06ea84a1e3dc3c6
17,HP Pavilion Ryzen 5 Hexa Core AMD R5-5600H - (8 GB/512 GB SSD/Windows 10/4 GB Graphics/NVIDIA GeForce ...,"₹49,890",/hp-pavilion-ryzen-5-hexa-core-amd-r5-5600h-8-gb-512-gb-ssd-windows-10-4-graphics-nvidia-geforce-gtx-1650-144-hz-15-ec2004ax-gaming-laptop/p/itm98c94bbf9bc20?pid=COMG5GZXPWMGTNWS&lid=LSTCOMG5GZXPWMGTNWSQE9WVW&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_18&otracker=search&fm=organic&iid=95bd80bb-92d4-4e88-a70d-d41f93d5f7ff.COMG5GZXPWMGTNWS.SEARCH&ppt=None&ppn=None&ssid=v4qlsbt7680000001663997131024&qH=c06ea84a1e3dc3c6
18,Lenovo IdeaPad 3 Core i3 10th Gen - (8 GB/256 GB SSD/Windows 11 Home) 81WA00Q3IN|81WA00MEIN Thin and L...,"₹27,990",/lenovo-ideapad-3-core-i3-10th-gen-8-gb-256-gb-ssd-windows-11-home-81wa00q3in-81wa00mein-thin-light-laptop/p/itm61227ecaffd8c?pid=COMG72M9TNRKQWQN&lid=LSTCOMG72M9TNRKQWQNFDLVMA&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_19&otracker=search&fm=organic&iid=95bd80bb-92d4-4e88-a70d-d41f93d5f7ff.COMG72M9TNRKQWQN.SEARCH&ppt=None&ppn=None&ssid=v4qlsbt7680000001663997131024&qH=c06ea84a1e3dc3c6
19,acer Ryzen 3 Dual Core 3250U - (8 GB/256 GB SSD/Windows 11 Home) Z2-493 Thin and Light Laptop,"₹28,890",/acer-ryzen-3-dual-core-3250u-8-gb-256-gb-ssd-windows-11-home-z2-493-thin-light-laptop/p/itm752c735b4b0a6?pid=COMGFHMJFHEDTDD4&lid=LSTCOMGFHMJFHEDTDD44ATOEE&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_20&otracker=search&fm=organic&iid=en_EpBk0Vl6ZuzEVnjYrNCxZO7vOQpFQ5yAEzGKdrcANr9Ue1x0paxl6Y0du1ClKTq3TToWEF9qsz5OJisbHaWS5Q%3D%3D&ppt=None&ppn=None&ssid=v4qlsbt7680000001663997131024&qH=c06ea84a1e3dc3c6
